alpha_two_code,country,web_pages,domains,name,state_province
Israel,['afeka.ac.il'],['http://www.afeka.ac.il/'],IL,Afeka Tel Aviv Academic College of Engineering,None
Israel,['jct.ac.il'],['http://www.jct.ac.il/'],IL,JCT Lev Academic Center,None
Israel,['ariel.ac.il'],['http://www.ariel.ac.il/'],IL,Ariel University Center of Samaria,None
Israel,['ash-college.ac.il'],['http://www.ash-college.ac.il/'],IL,Ashkelon Academic College,None
Israel,['bezalel.ac.il'],['http://www.bezalel.ac.il/'],IL,Bezalel Academy of Art and Design,None
Israel,['bgu.ac.il'],['http://www.bgu.ac.il/'],IL,Ben-Gurion University of the Negev,None
Israel,['biu.ac.il'],['http://www.biu.ac.il/'],IL,Bar-Ilan University,None
Israel,['clb.ac.il'],['http://www.clb.ac.il/'],IL,Acdemic Center for Law and Business,None
Israel,['colman.ac.il'],['http://www.colman.ac.il/'],IL,College of Management,None
Israel,['galilcol.ac.il'],['http://www.galilcol.ac.il/'],IL,Galillee College,None
Israel,['haifa.ac.il'],['http://www.haifa.ac.il/'],IL,University of Haifa,None
Israel,['huji.ac.il'],['http://www.huji.ac.il/'],IL,Hebrew University of Jerusalem,None
Israel,['idc.ac.il'],['http://www.idc.ac.il/'],IL,The Interdisciplinary Center Herzliya,None
Israel,['juc.edu'],['http://www.juc.edu/'],IL,Jerusalem University College,None
Israel,['openu.ac.il'],['http://www.openu.ac.il/'],IL,Open University of Israel,None
Israel,['rbni.technion.ac.il'],['http://rbni.technion.ac.il/'],IL,Russell Berrie Nanotechnology Institute,None
Israel,['sce.ac.il'],['http://www.sce.ac.il/'],IL,Sami Shamoon College of Engineering,None
Israel,['shenkar.ac.il'],['http://www.shenkar.ac.il/'],IL,Shenkar School of Engineering & Design,None
Israel,['tau.ac.il'],['http://www.tau.ac.il/'],IL,Tel Aviv University,None
Israel,['technion.ac.il'],['http://www.technion.ac.il/'],IL,Technion - Israel Institute of Technology,None
Israel,['weizmann.ac.il'],['http://www.weizmann.ac.il/'],IL,Weizmann Institute of Science,None
Israel,['wgalil.ac.il'],['http://www.wgalil.ac.il/'],IL,Western Galilee College,None
Israel,['yvc.ac.il'],['http://www.yvc.ac.il/'],IL,Emeq Yizrael College,None
